seq_no,epoch,timestamp,ip,temp
76,1591421401,Fri Jun 5 22:30:01 PDT 2020,128.111.45.161,116.600000
77,1591421701,Fri Jun 5 22:35:01 PDT 2020,128.111.45.161,116.600000
78,1591422001,Fri Jun 5 22:40:01 PDT 2020,128.111.45.161,116.600000
79,1591422301,Fri Jun 5 22:45:01 PDT 2020,128.111.45.161,116.600000
80,1591422601,Fri Jun 5 22:50:01 PDT 2020,128.111.45.161,122.000000
81,1591422902,Fri Jun 5 22:55:02 PDT 2020,128.111.45.161,116.600000
82,1591423201,Fri Jun 5 23:00:01 PDT 2020,128.111.45.161,116.600000
83,1591423501,Fri Jun 5 23:05:01 PDT 2020,128.111.45.161,116.600000
84,1591423801,Fri Jun 5 23:10:01 PDT 2020,128.111.45.161,120.200000
85,1591424101,Fri Jun 5 23:15:01 PDT 2020,128.111.45.161,120.200000
86,1591424401,Fri Jun 5 23:20:01 PDT 2020,128.111.45.161,120.200000
87,1591424701,Fri Jun 5 23:25:01 PDT 2020,128.111.45.161,118.400000
88,1591425001,Fri Jun 5 23:30:01 PDT 2020,128.111.45.161,116.600000
89,1591425301,Fri Jun 5 23:35:01 PDT 2020,128.111.45.161,116.600000
90,1591425601,Fri Jun 5 23:40:01 PDT 2020,128.111.45.161,116.600000
91,1591425901,Fri Jun 5 23:45:01 PDT 2020,128.111.45.161,116.600000
92,1591426201,Fri Jun 5 23:50:01 PDT 2020,128.111.45.161,116.600000
93,1591426501,Fri Jun 5 23:55:01 PDT 2020,128.111.45.161,118.400000
94,1591426801,Sat Jun 6 00:00:01 PDT 2020,128.111.45.161,118.400000
95,1591427101,Sat Jun 6 00:05:01 PDT 2020,128.111.45.161,116.600000
96,1591427401,Sat Jun 6 00:10:01 PDT 2020,128.111.45.161,118.400000
97,1591427702,Sat Jun 6 00:15:02 PDT 2020,128.111.45.161,118.400000
98,1591428001,Sat Jun 6 00:20:01 PDT 2020,128.111.45.161,116.600000
99,1591428301,Sat Jun 6 00:25:01 PDT 2020,128.111.45.161,127.400000
